babalu	stop
babej	head
babot	fun
babusa	keep
bafema	after
bafop	in
bajato	old
bajeji	place
bajike	outside
bama	you
bamas	this
banafu	paper
batapa	kind
bati	know
batuno	girl
batuwa	father
bawot	on
bebibe	through
bekusa	every
belutu	boy
bemeko	wrong
bemotu	may
besati	right
besesu	baby
besili	enough
besowu	care
bibiji	mind
biboko	dead
bifabe	room
bijej	for
bijina	morning
biketa	friend
biliju	move
bimuj	do
bimuw	not
bipane	son
bipiki	ready
bitabu	together
bitipa	minute
bitute	idea
biwasa	play
biwome	family
biwu	what
bobuja	run
bofabi	while
bofute	start
bojifu	tommorrow
bojiju	happy
bokubo	school
bolapo	watch
bolemo	business
bolowe	hope
bomefu	cause
bomem	all
bomuwo	hard
bopup	with
bosipu	cold
botama	turn
bowata	door
bubafo	such
bubas	house
bubime	face
bufak	away
bufawa	second
bufo	give
bufofe	brother
bujeti	dirty
bujufi	beautiful
bukuf	death
buliwi	year
buloku	late
bulumu	shut
buneka	under
buno	or
busamu	part
busapa	true
buse	no
busenu	fish
busibe	mine
butij	get
buwija	town
fabutu	drink
fafaku	heart
fafobe	young
faliwu	chance
fanajo	change
fapiko	week
fasewa	power
fasife	married
fasoli	point
fatatu	word
fatimu	bit
fawofo	cut
fawufi	trouble
febiti	dear
fefule	story
fejupu	far
fekaku	hate
fekopu	gun
felapo	rest
felit	number
fenob	life
fepaka	white
fepasa	waiting
fesis	money
fesisi	different
fesuni	important
fewisu	solid
fewiti	line
fibale	hole
fifiji	office
fifiko	quite
fifufo	against
fifupo	question
fijefi	high
fiki	come
fikuj	mother
filaja	reason
finos	body
fipolu	almost
fipuko	dog
fisama	bed
fitani	blood
fituje	accident
fiwas	here
fiwoju	though
fofala	sister
fofuki	send
fojane	free
fojato	book
fojib	but
fokibu	sun
fokofo	answer
folifo	between
folopi	war
fomose	fact
fomu	of
fomuja	clear
fonebe	daughter
fopaf	there
fopena	feeling
fosefi	full
fosit	walk
fosonu	till
foteli	light
fowewo	news
fulina	hour
fulinu	country
fumela	able
fumene	order
funite	living
funuka	hair
fupuma	music
futaba	sort
futatu	special
jabami	hi/hello
jabiju	serious
jabube	street
jajujo	touch
jakapu	company
jalaju	pull
jalawe	safe
jalinu	seem
jalule	top
jamawu	sign
janoka	meeting
janulu	sense
japipa	black
jasinu	control
jasupa	drop
jatola	poor
jatuwe	small
jawawo	hospital
jebab	same
jejale	past
jekesa	straight
jekute	clean
jeleno	kiss
jesime	step
jetepe	fall
jetupo	quiet
jewomo	law
jifaka	general
jifi	word marker for past tense
jifo	word marker for future tense
jijaba	possible
jijoso	tired
jikafe	road
jilaja	secret
jilufe	act
jimeja	quick
jimope	early
jineme	table
jinolu	ball
jipime	future
jipipi	floor
jisape	building
jiseku	earth
jitufi	ship
jiwi	want
jiwos	hand
jobeku	attention
jobew	so
jojitu	mouth
jomala	pain
jomemi	blow
jonawo	ray
jonefu	stick
joninu	yesterday
jonofi	boat
jonubo	plane
jopofi	month
jopofo	train
josipi	cover
josoko	across
jotaka	bag
jowatu	song
jubusi	horse
jufebu	ring
jufifo	system
jukafi	present
julewa	simple
jumila	middle
junapu	surprise
junobi	dark
junuku	dress
jupusa	strong
jusaw	everything
jusuti	key
jutof	like
jutota	strange
juwike	difference
kaben	out
kafame	voice
kajona	window
kalutu	army
kamipu	short
kamoju	record
kanek	go
kape	up
kapim	about
kapuwe	card
kasok	big
kawuba	button
kebase	certain
kefoji	fly
kefoju	test
kekisi	history
kekulo	join
kela	anything
kelali	lead
kelowo	smell
kelumo	near
kelupu	furniture
kemamu	letter
kemoli	mark
kenet	if
kepete	store
kepetu	star
kepila	pleasure
kesalo	list
kesomu	judge
kewopo	paste
kifefi	fat
kifeji	station
kifiso	gold
kijo	because
kijopo	seat
kikama	summer
kilu	one
kinelu	chief
kinili	brain
kinipi	deep
kipupi	slow
kipupu	private
kisate	attack
kisume	offer
kiwulo	driving
kokafo	kick
koleti	green
koloke	forward
komete	position
komupe	moon
koniko	respect
konowi	broken
kopo	only
kosino	crime
koteja	public
kowonu	art
kubitu	wall
kufake	force
kufim	at
kufoli	push
kukeme	normal
kukoma	machine
kulami	field
kulil	new
kuloja	jump
kululu	nose
kumake	church
kute	little
kutuju	blue
kuwuje	peace
lajaso	fear
lajeja	round
lakowo	cat
lalaso	space
lamab	now
lamela	prison
lamine	bug
lanila	cry
lanuna	smoke
lanuwe	arm
lasobo	government
latewi	tree
latibo	south
lawuti	bottom
lebije	hat
lefabi	board
lejoku	north
lekaja	sad
lekalo	roll
lekulo	laugh
lelaka	doubt
lelejo	reading
leneno	glass
lenesi	sweet
lepaso	west
lepepu	experience
lepoba	wine
lepol	long
lesaka	brown
lesuma	sea
leto	can
lewute	flight
liba	he
lifelo	neck
lifelu	eye
lijowe	wind
likobi	low
likoja	angry
likopu	clock
lililo	smile
limuna	camera
linapi	lock
linolo	leg
linufu	writing
lipam	how
lisimi	river
lisune	burn
litifa	decision
lobifa	medical
lobo	robot
lokatu	hanging
loki	love
lokubo	note
lomuto	band
lonope	price
lopapi	waste
losa	man
lufimu	copy
lujesu	warm
lujusi	box
lukana	complete
lukile	cup
lukot	well
lulaw	listen
luleje	level
luluno	taste
lunema	interest
lunupa	tight
lupuma	bottle
luteka	support
lutot	let
luwali	east
mababi	match
mabosu	rain
mafeje	memory
mafusu	rule
majefi	trick
make	see
makose	knife
makuni	group
malifu	shirt
malula	size
manuta	necessary
masabi	credit
masete	bridge
masup	sleep
matubu	ticket
mawobu	cook
mebame	stage
mebiju	cake
mefibo	responsible
mekobi	breath
melifu	sky
memopa	hearing
menoka	account
menomo	common
mesewi	bright
mesuba	skin
mesuku	operation
metoto	danger
mewite	meat
mewuse	dry
mifemo	sound
mififa	form
mifini	milk
mifuf	open
mijafi	natural
mikafa	coat
mikuwi	opinion
mimane	loose
mimeme	shame
mimena	military
mimubu	oil
mimujo	chest
minino	bite
minuba	wash
mipesi	stone
mipuki	bird
mipute	heat
mitika	manager
mobino	loud
mofata	shake
mofetu	island
mojefi	bell
mojemu	wet
mojuf	why
mojuwo	pig
mokafu	cheese
molali	view
momibu	insurance
mona	she
mopepu	hook
motaju	condition
motiwi	sugar
mowapa	screw
mowewe	page
mufe	be
mufisu	rough
mulisi	science
mumub	who
munune	paint
mupine	finger
musoko	weight
muwak	as
muwase	market
nafewu	sex
nafoju	cheap
nakelo	unit
nanipi	throat
nanube	pocket
nanume	roof
nasali	mountain
nasupi	base
natuta	trade
nawe	way
nawobu	language
nebaja	purpose
nefina	noise
nejapa	weather
nejoj	fire
nelete	lift
nelifi	male
nelobi	among
nenepo	regular
nesamu	stomach
newuwa	monkey
nibif	will
nibofo	sudden
nifese	property
nijabi	secretary
nijofa	damage
nikajo	society
nikuf	from
nimawu	crack
nimeto	rat
nimewi	tall
ninebi	fixed
ninota	soft
nipepo	ear
nipib	woman
nipumo	engine
nitojo	map
niwaku	swim
nobuki	square
nofiju	silver
nojafo	female
nojeb	time
nojebu	snow
nojime	spring
nokit	look
nole	back
noleka	tongue
nolosu	bath
nomes	take
nonisa	shoe
notupu	farm
nuboka	example
nubuno	statement
nufoki	loss
nulano	meal
nupawo	shock
nupike	theory
nupomu	wise
nususa	bread
nutat	some
nutemi	process
nuwofo	birth
nuwoma	wire
pabeji	physical
pabipe	connection
pabulu	food
pajafe	regret
paketa	wheel
pakula	wood
pakume	awake
palak	say
panope	garden
papebe	wound
pasote	event
pataje	winter
patap	crazy
pawoba	flat
pawop	inside
pawume	disease
pebafe	bone
pefawa	egg
pefowe	slip
pefuse	plate
pejabu	distance
pejujo	request
peka	too
pekiwi	knowledge
pekot	end
pekumi	cow
pelake	soup
peliku	rate
pelite	healthy
pemona	amount
peneko	pen
pepima	poison
pesiko	direction
pesuna	tail
petamu	effect
petej	down
petiju	dust
pewebe	wide
pibuba	sharp
pikik	then
pikulo	apple
pileki	edge
pimo	that
pisal	make
pisosa	owner
pisulo	nerve
pitebe	library
pitele	range
pito	I
piwaja	flower
pobapo	pot
pofan	by
pofop	over
pofuko	behavior
pojeja	snake
pokoku	orange
pokule	material
pomino	expert
pomofe	committee
popike	animal
posapu	political
posiji	separate
poteto	circle
powako	value
powitu	mixed
pubemu	ill
pubito	wave
pubow	need
pubowu	authority
